Row ID,Battery Life,Beach Name,UMAP-0,UMAP-1,Measurement Timestamp,Turbidity,UMAP-0-0,UMAP-1-1,Water Temperature,Wave Height,Wave Period
108,1,0,-31.7968,29.3689,1402959600,0,12.0867,13.4395,0,0,-1
109,1,0,-29.1567,34.6669,1402963200,0,6.27156,9.77276,-1,-1,1
110,1,0,-28.974,34.9748,1402966800,0,-7.15698,-5.48814,-1,-1,-1
111,1,0,-28.7523,35.3311,1402970400,0,-5.66757,9.51535,-1,-1,-1
112,1,0,-28.4855,35.743,1402974000,0,0.41955,15.253,-1,-1,1
113,1,0,-28.2087,36.1482,1402977600,0,7.95947,-3.25215,-1,-1,1
114,1,0,-27.9566,36.4912,1402981200,0,-9.07765,15.0143,-1,-1,1
115,1,0,-27.7283,36.7707,1402984800,0,18.0419,7.79293,-1,-1,-1
116,1,0,-23.953,40.2118,1402988400,0,-7.20375,6.85236,-1,-1,-1
117,1,0,-23.6183,40.4297,1402992000,0,17.6388,7.82413,-1,-1,-1
118,1,0,-23.261,40.6288,1402995600,0,15.546,-9.17065,-1,-1,0
119,1,0,-22.8682,40.8223,1402999200,0,0.884078,-12.3047,-1,-1,3
120,1,0,-22.5162,40.9797,1403002800,0,13.6214,-7.44216,-1,-1,4
121,1,0,-22.1828,41.1132,1403006400,0,-1.65093,18.0845,0,-1,-1
122,1,0,-14.4514,43.5122,1403010000,0,-7.34261,-1.74464,0,-1,0
123,1,0,-14.148,43.6506,1403013600,0,11.0315,-5.43578,0,0,0
124,1,0,-13.7812,43.8369,1403017200,0,-7.6499,12.3378,0,-1,-1
125,1,0,-13.3567,44.0719,1403020800,0,7.55642,13.0419,0,-1,-1
126,1,0,-12.9279,44.3319,1403024400,0,18.3513,8.57579,0,0,0
127,1,0,-12.4744,44.6321,1403028000,0,-8.34437,12.5165,0,0,-1
128,1,0,-12.0269,44.9505,1403031600,0,2.61022,10.1481,0,0,2
129,1,0,-11.6201,45.2615,1403035200,0,12.2487,0.512307,0,0,-1
130,1,0,-11.2166,45.5904,1403038800,0,0.996066,9.99598,0,-1,1
131,1,0,-10.8098,45.942,1403042400,0,1.04018,-10.8741,0,0,0
132,1,0,-10.4089,46.3061,1403046000,0,7.67563,18.3915,0,-1,0
133,1,0,-10.0233,46.6766,1403049600,0,3.40918,-7.90373,0,-1,0
134,1,0,-9.66037,47.0483,1403053200,0,7.28515,12.7855,-1,-1,0
135,1,0,-9.31402,47.4265,1403056800,0,-3.59583,6.91649,-1,-1,2
136,1,0,-8.95385,47.845,1403060400,0,10.316,1.10766,-1,-1,1
137,1,0,-8.60558,48.2739,1403064000,0,10.2914,11.6663,-1,-1,1
138,1,0,-8.29865,48.679,1403067600,0,1.6549,18.8482,-1,-1,1
139,1,0,-7.99907,49.1064,1403071200,0,17.4818,7.69054,-1,-1,0
140,1,0,-7.7074,49.5539,1403074800,0,18.535,5.53891,-1,-1,0
141,1,0,-7.42669,50.0188,1403078400,0,6.14659,8.28613,-1,-1,-1
142,1,0,-7.15497,50.4977,1403082000,0,17.95,-4.01656,-1,-1,0
143,1,0,-6.89783,50.9798,1403085600,0,-6.9588,-7.39702,-1,-1,1
