Row ID,Battery Life,Beach Name,UMAP-0,UMAP-1,Measurement Timestamp,Turbidity,Water Temperature,Wave Height,Wave Period,u_0_trx,u_1_trx,AscendingManifold,MorseSmaleManifold
86,0.875775,1,-50.337,-16.6805,1401426000,-0.0981639,-0.977344,-0.2584,-0.568405,60,121,48,49
87,1.01299,2,-50.337,-16.6805,1401426000,0.0338097,-1.39008,0.91019,0.0764631,60,121,48,49
88,0.875775,1,-50.1789,-16.7588,1401429600,-0.100439,-1.00683,-0.350961,-0.568405,61,120,48,49
89,1.01299,2,-50.1789,-16.7588,1401429600,0.029584,-1.41956,0.516803,-0.568405,61,120,48,49
90,0.875775,1,-50.019,-16.8388,1401433200,-0.0945882,-1.00683,-0.489804,-0.568405,61,120,48,49
91,1.01299,2,-50.019,-16.8388,1401433200,0.029584,-1.41956,0.528374,0.0764631,61,120,48,49
92,0.875775,1,-49.8602,-16.9224,1401436800,-0.0955634,-0.977344,-0.547655,-0.568405,61,120,48,49
93,1.01299,2,-49.8602,-16.9224,1401436800,0.0312093,-1.39008,0.620935,-0.568405,61,120,48,49
94,0.73856,1,-49.7051,-17.004,1401440400,-0.0984889,-0.947863,-0.767488,-0.568405,61,120,48,49
95,1.01299,2,-49.7051,-17.004,1401440400,0.024058,-1.33112,0.563084,-0.568405,61,120,48,49
96,0.73856,1,-49.5479,-17.0865,1401444000,-0.100764,-0.859418,-0.732778,-0.568405,62,120,48,49
97,1.01299,2,-49.5479,-17.0865,1401444000,0.0133311,-1.27216,0.273829,-0.568405,62,120,48,49
98,0.73856,1,-49.3903,-17.1706,1401447600,-0.10304,-0.800456,-0.779059,-0.568405,62,120,48,49
99,1.01299,2,-49.3903,-17.1706,1401447600,0.0214575,-1.18371,0.32011,-0.568405,62,120,48,49
100,0.73856,1,-49.235,-17.2536,1401451200,-0.102715,-0.68253,-0.674927,-0.568405,62,120,48,49
101,1.01299,2,-49.235,-17.2536,1401451200,0.0136561,-1.09527,0.215978,-0.568405,62,120,48,49
102,0.73856,1,-49.0806,-17.339,1401454800,-0.100764,-0.623568,-0.767488,-0.568405,62,119,48,49
103,1.01299,2,-49.0806,-17.339,1401454800,0.00292922,-1.00683,0.2854,-0.568405,62,119,48,49
104,0.73856,1,-48.9299,-17.4248,1401458400,-0.098814,-0.594086,-0.686497,-0.568405,63,119,48,49
105,1.01299,2,-48.9299,-17.4248,1401458400,-0.0061724,-0.918381,0.597795,-1.21327,63,119,48,49
106,0.73856,1,-48.7748,-17.5125,1401462000,-0.100764,-0.505642,-0.397242,-1.21327,63,119,48,49
107,1.01299,2,-48.7748,-17.5125,1401462000,3.70E-06,-0.829937,0.250689,-1.21327,63,119,48,49
108,0.73856,1,-48.6249,-17.6,1401465600,-0.102065,-0.535124,-0.524514,-0.568405,63,119,48,49
109,1.01299,2,-48.6249,-17.6,1401465600,-0.00682252,-0.800456,0.632505,-1.21327,63,119,48,49
110,0.73856,1,-48.476,-17.6899,1401469200,-0.104015,-0.564605,-0.385672,-1.21327,64,119,48,49
111,1.01299,2,-48.476,-17.6899,1401469200,-0.0100731,-0.800456,0.644076,-0.568405,64,119,48,49
112,0.73856,1,-48.3299,-17.7817,1401472800,-0.10369,-0.535124,-0.385672,-0.568405,64,119,48,49
113,1.01299,2,-48.3299,-17.7817,1401472800,-0.014949,-0.829937,0.516803,-1.21327,64,119,48,49
114,0.73856,1,-48.1815,-17.8764,1401476400,-0.10499,-0.535124,-0.316251,-1.21327,64,119,48,49
115,1.01299,2,-48.1815,-17.8764,1401476400,-0.00714758,-0.800456,0.30854,-1.21327,64,119,48,49
116,0.73856,1,-48.0369,-17.972,1401480000,-0.103365,-0.564605,-0.131128,-0.568405,64,118,48,49
117,1.01299,2,-48.0369,-17.972,1401480000,-0.0185246,-0.829937,0.30854,-1.21327,64,118,48,49
118,0.73856,1,-47.8951,-18.0679,1401483600,-0.10434,-0.505642,-0.200549,-0.568405,65,118,48,49
119,1.01299,2,-47.8951,-18.0679,1401483600,-0.0146239,-0.829937,0.0424254,-1.21327,65,118,48,49
120,0.73856,1,-47.7559,-18.166,1401487200,-0.10304,-0.505642,-0.350961,-0.568405,65,118,48,49
121,1.01299,2,-47.7559,-18.166,1401487200,-0.0256759,-0.8889,-0.165838,-1.21327,65,118,48,49
122,0.73856,1,-47.6146,-18.2654,1401490800,-0.103365,-0.564605,-0.223689,-0.568405,65,118,48,49
123,1.01299,2,-47.6146,-18.2654,1401490800,-0.0221003,-0.8889,0.0887062,-0.568405,65,118,48,49
124,0.73856,1,-47.4818,-18.3661,1401494400,-0.098814,-0.68253,-0.350961,-0.568405,65,118,48,49
125,1.01299,2,-47.4818,-18.3661,1401494400,-0.0321771,-0.8889,-0.0732766,-1.21327,65,118,48,49
126,0.73856,1,-47.3479,-18.4708,1401498000,-0.10369,-0.712012,-0.489804,-0.568405,66,118,48,49
127,1.01299,2,-47.3479,-18.4708,1401498000,-0.0305518,-0.918381,-0.2584,-1.21327,66,118,48,49
128,0.73856,1,-47.214,-18.5776,1401501600,-0.103365,-0.741493,-0.431953,-0.568405,66,117,48,49
129,1.01299,2,-47.214,-18.5776,1401501600,-0.0344525,-0.947863,-0.350961,-0.568405,66,117,48,49
130,0.73856,1,-47.0825,-18.6849,1401505200,-0.101414,-0.800456,-0.443523,-0.568405,66,117,48,49
131,1.01299,2,-47.0825,-18.6849,1401505200,-0.0403035,-0.977344,-0.316251,-0.568405,66,117,48,49
132,0.73856,1,-46.9528,-18.7934,1401508800,-0.0945882,-0.800456,-0.478233,0.0764631,66,117,48,49
133,1.01299,2,-46.9528,-18.7934,1401508800,-0.0500553,-1.03631,-0.096417,-0.568405,66,117,48,49
134,0.73856,1,-46.8257,-18.9044,1401512400,-0.098814,-0.829937,-0.466663,-0.568405,66,117,48,49
135,1.01299,2,-46.8257,-18.9044,1401512400,-0.0526557,-1.03631,-0.154268,-1.21327,66,117,48,49
136,0.73856,1,-46.6985,-19.0181,1401516000,-0.0786604,-0.741493,-0.547655,-0.568405,67,117,48,49
137,1.01299,2,-46.6985,-19.0181,1401516000,-0.0490801,-1.06579,-0.131128,-0.568405,67,117,48,49
138,0.73856,1,-46.573,-19.1312,1401519600,-0.0955634,-0.800456,-0.651786,-0.568405,67,116,48,49
139,1.01299,2,-46.573,-19.1312,1401519600,-0.0474548,-1.03631,-0.316251,-0.568405,67,116,48,49
140,0.73856,1,-46.4494,-19.2451,1401523200,-0.0949133,-0.741493,-0.709637,-0.568405,67,116,48,49
141,1.01299,2,-46.4494,-19.2451,1401523200,-0.0468047,-1.03631,-0.420382,-0.568405,67,116,48,49
142,0.73856,1,-46.325,-19.3606,1401526800,-0.0975137,-0.712012,-0.86005,-0.568405,67,116,48,49
143,1.01299,2,-46.325,-19.3606,1401526800,-0.0503803,-0.977344,-0.339391,-0.568405,67,116,48,49
144,0.73856,1,-46.2037,-19.475,1401530400,-0.0962135,-0.623568,-0.894761,-0.568405,68,116,48,49
145,1.01299,2,-46.2037,-19.475,1401530400,-0.0565564,-0.8889,-0.350961,-0.568405,68,116,48,49
146,0.73856,1,-46.0842,-19.5881,1401534000,-0.0929629,-0.505642,-0.906331,-0.568405,68,116,48,49
147,1.01299,2,-46.0842,-19.5881,1401534000,-0.0555812,-0.800456,-0.188979,0.0764631,68,116,48,49
148,0.73856,1,-45.968,-19.6993,1401537600,-0.107591,-0.44668,-0.755918,-1.21327,68,115,48,49
149,1.01299,2,-45.968,-19.6993,1401537600,-0.0692337,-0.653049,-0.501374,-1.21327,68,115,48,49
150,0.73856,1,-45.858,-19.8053,1401541200,-0.107591,-0.328754,-0.790629,-0.568405,68,115,48,49
151,1.01299,2,-45.858,-19.8053,1401541200,-0.0575316,-0.564605,-0.28154,-0.568405,68,115,48,49
152,0.73856,1,-45.7532,-19.9075,1401544800,-0.111491,-0.0929033,-0.686497,-0.568405,68,115,48,49
153,1.01299,2,-45.7532,-19.9075,1401544800,-0.0341274,-0.0929033,-0.212119,-0.568405,68,115,48,49
154,0.73856,1,-45.6544,-20.0029,1401548400,-0.109541,-0.063422,-0.744348,-1.21327,68,115,48,49
155,0.875775,2,-45.6544,-20.0029,1401548400,-0.0305518,0.0545034,-0.188979,-1.21327,68,115,48,49
156,0.73856,1,-45.5601,-20.0933,1401552000,-0.112466,0.0839848,-0.096417,-1.21327,69,115,48,49
157,1.01299,2,-45.5601,-20.0933,1401552000,-0.0490801,0.172429,0.470523,0.0764631,69,115,48,49
158,0.73856,1,-45.4679,-20.1829,1401555600,-0.108891,0.231392,-0.188979,-1.21327,69,115,48,49
159,1.01299,2,-45.4679,-20.1829,1401555600,-0.0676084,-0.0339406,0.794488,-1.21327,69,115,48,49
160,0.73856,1,-45.3723,-20.2771,1401559200,-0.0965386,0.437761,0.597795,-0.568405,69,114,48,49
161,1.01299,2,-45.3723,-20.2771,1401559200,-0.0643578,-0.328754,0.505233,-1.21327,69,114,48,49
162,0.73856,1,-45.2593,-20.388,1401562800,-0.10369,0.319836,0.0655658,-0.568405,69,114,48,49
163,1.01299,2,-45.2593,-20.388,1401562800,-0.0260009,-0.00445926,0.354821,-0.568405,69,114,48,49
164,0.73856,1,-41.2201,-24.3833,1401566400,-0.105315,0.260873,-0.212119,-0.568405,76,107,44,45
165,1.01299,2,-41.2201,-24.3833,1401566400,-0.0637077,-0.417198,0.424242,-0.568405,76,107,44,45
166,0.73856,1,-41.0984,-24.4909,1401570000,-0.0926379,0.231392,0.0424254,-0.568405,76,107,44,45
167,1.01299,2,-41.0984,-24.4909,1401570000,-0.0692337,-0.535124,0.528374,-0.568405,76,107,44,45
168,0.73856,1,-40.9927,-24.5799,1401573600,-0.10369,0.0250221,0.0308552,-0.568405,77,107,44,45
169,1.01299,2,-40.9927,-24.5799,1401573600,-0.0793105,-0.741493,0.29697,-0.568405,77,107,44,45
