Row ID,Battery Life,Beach Name,TSNE-0,TSNE-1,Measurement Timestamp,Turbidity,Water Temperature,Wave Height,Wave Period,t_0_trx,t_1_trx,AscendingManifold,MorseSmaleManifold
7909,-0.221943,1,22.2536,70.9797,1407193200,-0.123193,0.8505,-0.605506,-1.21327,187,273,126,127
7910,0.0524863,2,22.2536,70.9797,1407193200,-0.081911,0.290354,0.678786,-0.568405,187,273,126,127
7911,-0.496373,3,22.2536,70.9797,1407193200,-0.0958885,0.496724,-0.30468,-0.568405,187,273,126,127
7912,-0.221943,4,22.2536,70.9797,1407193200,-0.0997891,0.142947,0.169698,-0.568405,187,273,126,127
7913,-0.221943,4,22.3567,71.2297,1407196800,-0.0858116,0.142947,-0.0617064,-0.568405,187,274,126,127
7914,-0.221943,1,22.3567,71.2297,1407196800,-0.123843,0.821019,-0.559225,-0.568405,187,274,126,127
7915,0.0524863,2,22.3567,71.2297,1407196800,-0.0741096,0.231392,0.215978,2.65594,187,274,126,127
7916,-0.496373,3,22.3567,71.2297,1407196800,-0.098814,0.467242,-0.362531,-0.568405,187,274,126,127
7917,-0.221943,1,22.4781,71.4987,1407200400,-0.124819,0.821019,-0.24683,-0.568405,187,274,126,127
7918,0.0524863,2,22.4781,71.4987,1407200400,-0.0698838,0.20191,0.111847,-0.568405,187,274,126,127
7919,-0.496373,3,22.4781,71.4987,1407200400,-0.0962135,0.437761,-0.547655,-0.568405,187,274,126,127
7920,-0.221943,4,22.4781,71.4987,1407200400,-0.0832112,0.142947,-0.131128,-0.568405,187,274,126,127
7921,-0.221943,1,22.9317,72.4073,1407207600,-0.122868,0.791537,-0.478233,-1.21327,188,276,126,127
7922,0.0524863,2,22.9317,72.4073,1407207600,-0.0926379,0.20191,0.0539956,-0.568405,188,276,126,127
7923,-0.496373,3,22.9317,72.4073,1407207600,-0.0958885,0.437761,-0.559225,-0.568405,188,276,126,127
7924,-0.221943,4,22.9317,72.4073,1407207600,-0.0919878,0.113466,-0.2584,-0.568405,188,276,126,127
7925,0.0524863,2,23.1424,72.7967,1407211200,-0.101739,0.172429,0.077136,-0.568405,189,276,126,127
7926,-0.221943,4,23.3136,73.0888,1407214800,-0.081911,0.113466,-0.0848468,-0.568405,189,277,126,127
7927,-0.221943,1,23.3136,73.0888,1407214800,-0.125469,0.791537,-0.802199,-1.21327,189,277,126,127
7928,0.0524863,2,23.3136,73.0888,1407214800,-0.0942632,0.113466,-0.142698,-0.568405,189,277,126,127
7929,-0.496373,3,23.3136,73.0888,1407214800,-0.102715,0.40828,-0.674927,-0.568405,189,277,126,127
7930,-0.221943,4,23.4619,73.3194,1407218400,-0.10304,0.113466,-0.2584,-0.568405,189,277,126,127
7931,-0.221943,1,23.4619,73.3194,1407218400,-0.125794,0.791537,-0.906331,-0.568405,189,277,126,127
7932,0.0524863,2,23.4619,73.3194,1407218400,-0.0773601,0.142947,-0.177408,2.01107,189,277,126,127
7933,-0.496373,3,23.4619,73.3194,1407218400,-0.10304,0.40828,-0.674927,-0.568405,189,277,126,127
