,WSPD,GST,ATMP,Date,Original_Data,UMAP-0,UMAP-1
247,-0.13302509284353276,-0.6714596297033596,0.18421198612264003,1584752400.0,2020-03-21 01:00:00,10.833258,8.8563795
248,-0.7648555687476218,-1.0664358824700415,0.15213409865442057,1584756000.0,2020-03-21 02:00:00,10.341101,8.848437
249,1.846710398322614,2.4093551418767607,-0.5856573131146157,1584759600.0,2020-03-21 03:00:00,9.840908,8.973571
250,2.0573205569573103,2.2118670154934197,-0.2969563259006451,1584763200.0,2020-03-21 04:00:00,9.575734,9.041721
251,1.172757890691585,1.1849287583000465,-0.5535794256463974,1584766800.0,2020-03-21 05:00:00,9.222778,9.049278
252,0.9621477320568889,0.9874406319167055,-0.6498130880510546,1584770400.0,2020-03-21 06:00:00,8.956511,8.75809
253,0.9621477320568889,0.9874406319167055,-0.5215015381781779,1584774000.0,2020-03-21 07:00:00,8.720194,8.826864
254,1.172757890691585,0.9874406319167055,-0.6177352005828352,1584777600.0,2020-03-21 08:00:00,8.534274,8.628594
255,1.846710398322614,1.7773931374500695,-0.7139688629874924,1584781200.0,2020-03-21 09:00:00,8.198571,8.230134
256,1.172757890691585,1.1849287583000465,-0.6498130880510546,1584784800.0,2020-03-21 10:00:00,8.197413,7.90278
257,1.6361002396879176,1.3824168846833875,-0.6498130880510546,1584788400.0,2020-03-21 11:00:00,8.239549,7.542902
258,1.4254900810532212,1.3824168846833875,-0.6177352005828352,1584792000.0,2020-03-21 12:00:00,8.284342,7.2210803
259,1.4254900810532212,1.1849287583000465,-0.7139688629874924,1584795600.0,2020-03-21 13:00:00,8.320638,6.984459
260,0.9621477320568889,0.7899525055333645,-0.6177352005828352,1584799200.0,2020-03-21 14:00:00,8.450553,6.712658
261,0.9621477320568889,0.9874406319167055,-0.6498130880510546,1584802800.0,2020-03-21 15:00:00,8.254012,6.2941613
262,0.9621477320568889,0.5529667538733547,-0.6498130880510546,1584806400.0,2020-03-21 16:00:00,8.381542,5.9898944
263,0.5409274147874961,0.5529667538733547,-0.4894236507099596,1584810000.0,2020-03-21 17:00:00,8.425304,5.6853375
264,0.7515375734221924,0.7899525055333645,-0.3611121008370829,1584813600.0,2020-03-21 18:00:00,8.467656,5.3211093
265,0.5409274147874961,0.5529667538733547,-0.13656688855955004,1584817200.0,2020-03-21 19:00:00,8.460073,4.99164
266,0.5409274147874961,0.35547862749001397,-0.13656688855955004,1584820800.0,2020-03-21 20:00:00,8.333491,4.5805874
267,0.5409274147874961,0.35547862749001397,-0.0403332261548928,1584824400.0,2020-03-21 21:00:00,8.217313,4.3345737
268,0.3303172561527996,0.15799050110667295,-0.008255338686674479,1584828000.0,2020-03-21 22:00:00,8.030361,4.050261
269,0.5409274147874961,0.35547862749001397,0.08797832371798277,1584831600.0,2020-03-21 23:00:00,7.823841,3.8603387
270,0.5409274147874961,0.35547862749001397,0.12005621118620223,1584835200.0,2020-03-22 00:00:00,7.589856,3.7931178
271,0.11970709751810318,0.15799050110667295,-0.20072266349598783,1584838800.0,2020-03-22 01:00:00,7.334388,3.6552703
272,0.7515375734221924,0.9874406319167055,-0.4894236507099596,1584842400.0,2020-03-22 02:00:00,6.972651,3.6601932
273,0.9621477320568889,0.5529667538733547,-0.4894236507099596,1584846000.0,2020-03-22 03:00:00,6.835887,3.756191
274,1.4254900810532212,1.1849287583000465,-0.5215015381781779,1584849600.0,2020-03-22 04:00:00,6.6016293,3.9129095
275,0.9621477320568889,0.5529667538733547,-0.42526787577352065,1584853200.0,2020-03-22 05:00:00,6.3596435,4.1650734
276,0.9621477320568889,0.5529667538733547,-0.2969563259006451,1584856800.0,2020-03-22 06:00:00,6.1624107,4.3712063
277,0.9621477320568889,0.9874406319167055,-0.2969563259006451,1584860400.0,2020-03-22 07:00:00,6.064922,4.7161407
278,0.5409274147874961,0.15799050110667295,-0.32903421336886457,1584864000.0,2020-03-22 08:00:00,6.1308575,4.956385
279,0.7515375734221924,0.35547862749001397,-0.2969563259006451,1584867600.0,2020-03-22 09:00:00,6.1767225,5.2659016
280,0.5409274147874961,0.35547862749001397,-0.3611121008370829,1584871200.0,2020-03-22 10:00:00,6.259356,5.498907
281,0.7515375734221924,0.35547862749001397,-0.42526787577352065,1584874800.0,2020-03-22 11:00:00,6.023798,5.8460655
282,0.7515375734221924,0.5529667538733547,-0.5215015381781779,1584878400.0,2020-03-22 12:00:00,6.039179,6.118751
283,0.9621477320568889,0.7899525055333645,-0.4894236507099596,1584882000.0,2020-03-22 13:00:00,5.647964,6.389174
284,1.172757890691585,0.9874406319167055,-0.5856573131146157,1584885600.0,2020-03-22 14:00:00,5.717549,6.4912443
285,1.4254900810532212,1.1849287583000465,-0.4894236507099596,1584889200.0,2020-03-22 15:00:00,5.4775944,6.7649183
286,1.6361002396879176,1.3824168846833875,-0.45734576324174014,1584892800.0,2020-03-22 16:00:00,5.2247033,7.009705
287,1.4254900810532212,1.1849287583000465,-0.3611121008370829,1584896400.0,2020-03-22 17:00:00,4.8427587,7.2562213
288,0.9621477320568889,0.5529667538733547,-0.13656688855955004,1584900000.0,2020-03-22 18:00:00,4.5428834,7.245083
289,0.5409274147874961,0.5529667538733547,0.28044564852729725,1584903600.0,2020-03-22 19:00:00,4.2299266,7.269419
290,0.7515375734221924,0.35547862749001397,0.47291297333661064,1584907200.0,2020-03-22 20:00:00,4.014325,7.049815
291,0.7515375734221924,0.5529667538733547,0.47291297333661064,1584910800.0,2020-03-22 21:00:00,4.0432124,6.8935294
292,0.7515375734221924,0.5529667538733547,0.47291297333661064,1584914400.0,2020-03-22 22:00:00,3.7419155,6.574215
293,0.7515375734221924,0.35547862749001397,0.4408350858683923,1584918000.0,2020-03-22 23:00:00,3.7467673,6.396042
294,0.7515375734221924,0.35547862749001397,0.4087571984001728,1584921600.0,2020-03-23 00:00:00,3.5066123,5.9136167
295,-0.13302509284353276,-0.2369857516600091,0.4087571984001728,1584925200.0,2020-03-23 01:00:00,3.4318426,5.575233
296,0.11970709751810318,-0.2369857516600091,0.4087571984001728,1584928800.0,2020-03-23 02:00:00,3.340443,5.247783
297,0.11970709751810318,-0.2369857516600091,0.4087571984001728,1584932400.0,2020-03-23 03:00:00,3.3593564,4.7747364
298,-0.13302509284353276,-0.43447387804335014,1.0823928352327725,1584936000.0,2020-03-23 04:00:00,3.4413183,4.4643493
299,-0.34363525147822915,-0.43447387804335014,1.0823928352327725,1584939600.0,2020-03-23 05:00:00,3.6011996,4.254946
300,-0.34363525147822915,-0.43447387804335014,0.6012245232094874,1584943200.0,2020-03-23 06:00:00,3.821368,3.923316
301,-0.5542454101129256,-0.6714596297033596,0.6012245232094874,1584946800.0,2020-03-23 07:00:00,4.0535054,3.581898
302,-0.34363525147822915,-0.43447387804335014,0.6012245232094874,1584950400.0,2020-03-23 08:00:00,4.174791,3.3685555
303,-1.1860758860170146,-0.8689477560867006,0.47291297333661064,1584954000.0,2020-03-23 09:00:00,4.353092,3.0811195
304,-1.6494182350133468,-1.2639240088533825,0.4408350858683923,1584957600.0,2020-03-23 10:00:00,4.5089993,2.7979903
305,-1.6494182350133468,-1.2639240088533825,0.4087571984001728,1584961200.0,2020-03-23 11:00:00,4.712439,2.4895036
306,-1.6494182350133468,-1.0664358824700415,0.4087571984001728,1584964800.0,2020-03-23 12:00:00,4.879537,2.2657013
307,-1.6494182350133468,-1.4614121352367235,0.4408350858683923,1584968400.0,2020-03-23 13:00:00,4.875155,2.2622163
308,-1.1860758860170146,-1.0664358824700415,0.6653802981459251,1584972000.0,2020-03-23 14:00:00,5.3319197,1.8381053
309,-1.8600283936480433,-1.6589002616200643,0.8578476229552396,1584975600.0,2020-03-23 15:00:00,5.259948,1.7454637
310,-1.8600283936480433,-1.4614121352367235,1.0823928352327725,1584979200.0,2020-03-23 16:00:00,5.430868,1.5034423
311,-1.396686044651711,-1.2639240088533825,0.9861591728281153,1584982800.0,2020-03-23 17:00:00,5.7211375,1.0926846
312,-1.6494182350133468,-1.4614121352367235,1.1786264976374297,1584986400.0,2020-03-23 18:00:00,5.8380313,0.83305204
313,-1.6494182350133468,-1.4614121352367235,1.114470722700991,1584990000.0,2020-03-23 19:00:00,6.050396,0.40662697
314,-1.8600283936480433,-1.2639240088533825,1.3069380475103054,1584993600.0,2020-03-23 20:00:00,6.045253,0.3012767
315,-1.396686044651711,-1.0664358824700415,0.9861591728281153,1584997200.0,2020-03-23 21:00:00,6.3041863,-0.13538875
316,-1.396686044651711,-1.2639240088533825,1.114470722700991,1585000800.0,2020-03-23 22:00:00,6.4784856,-0.36954832
317,-1.8600283936480433,-1.6589002616200643,0.9861591728281153,1585004400.0,2020-03-23 23:00:00,6.6572948,-0.56418914
318,-1.1860758860170146,-1.2639240088533825,0.7936918480188008,1585008000.0,2020-03-24 00:00:00,6.987912,-0.8850747
319,-1.6494182350133468,-1.2639240088533825,0.6974581856141446,1585011600.0,2020-03-24 01:00:00,7.2665596,-1.1046462
320,-0.34363525147822915,-0.43447387804335014,0.6653802981459251,1585015200.0,2020-03-24 02:00:00,7.5786276,-1.3698856
321,-0.13302509284353276,-0.2369857516600091,0.6974581856141446,1585018800.0,2020-03-24 03:00:00,7.8424397,-1.326583
322,-0.13302509284353276,-0.2369857516600091,1.2427822725738675,1585022400.0,2020-03-24 04:00:00,8.240876,-1.4541472
323,0.11970709751810318,0.15799050110667295,1.274860160042086,1585026000.0,2020-03-24 05:00:00,8.51341,-1.264412
324,-0.34363525147822915,0.35547862749001397,0.6653802981459251,1585029600.0,2020-03-24 06:00:00,8.685307,-1.2470039
325,-1.1860758860170146,-0.6714596297033596,0.5691466357412679,1585033200.0,2020-03-24 07:00:00,8.780312,-1.0624428
326,-1.1860758860170146,-0.43447387804335014,0.5370687482730496,1585036800.0,2020-03-24 08:00:00,8.8207445,-0.8916657
