WDIR,WSPD,GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE,Date
999,3.6,3.6,99.0,99.0,99.0,999,9999.0,18.8,999.0,999.0,99.0,99.0,2020/03/14 2000
999,4.1,4.6,99.0,99.0,99.0,999,9999.0,18.7,999.0,999.0,99.0,99.0,2020/03/14 2100
999,4.6,5.1,99.0,99.0,99.0,999,9999.0,18.4,999.0,999.0,99.0,99.0,2020/03/14 2200
999,4.6,5.1,99.0,99.0,99.0,999,9999.0,18.1,999.0,999.0,99.0,99.0,2020/03/14 2300
999,5.7,6.2,99.0,99.0,99.0,999,9999.0,17.9,999.0,999.0,99.0,99.0,2020/03/15 0000
999,5.7,6.7,99.0,99.0,99.0,999,9999.0,17.5,999.0,999.0,99.0,99.0,2020/03/15 0100
999,6.2,6.7,99.0,99.0,99.0,999,9999.0,17.5,999.0,999.0,99.0,99.0,2020/03/15 0200
999,5.1,5.1,99.0,99.0,99.0,999,9999.0,17.8,999.0,999.0,99.0,99.0,2020/03/15 0300
999,5.7,6.2,99.0,99.0,99.0,999,9999.0,18.8,999.0,999.0,99.0,99.0,2020/03/15 0400
999,8.2,8.8,99.0,99.0,99.0,999,9999.0,19.8,999.0,999.0,99.0,99.0,2020/03/15 0500
999,7.2,8.2,99.0,99.0,99.0,999,9999.0,19.4,999.0,999.0,99.0,99.0,2020/03/15 0600
999,8.2,9.3,99.0,99.0,99.0,999,9999.0,19.2,999.0,999.0,99.0,99.0,2020/03/15 0700
999,6.2,7.2,99.0,99.0,99.0,999,9999.0,19.2,999.0,999.0,99.0,99.0,2020/03/15 0800
999,4.6,5.7,99.0,99.0,99.0,999,9999.0,19.1,999.0,999.0,99.0,99.0,2020/03/15 0900
999,0.0,1.5,99.0,99.0,99.0,999,9999.0,19.2,999.0,999.0,99.0,99.0,2020/03/15 1000
999,1.5,2.1,99.0,99.0,99.0,999,9999.0,19.4,999.0,999.0,99.0,99.0,2020/03/15 1100
999,1.0,1.5,99.0,99.0,99.0,999,9999.0,19.5,999.0,999.0,99.0,99.0,2020/03/15 1200
999,2.6,2.6,99.0,99.0,99.0,999,9999.0,19.5,999.0,999.0,99.0,99.0,2020/03/15 1300
999,3.6,3.6,99.0,99.0,99.0,999,9999.0,20.0,999.0,999.0,99.0,99.0,2020/03/15 1400
999,3.6,3.6,99.0,99.0,99.0,999,9999.0,20.1,999.0,999.0,99.0,99.0,2020/03/15 1500
999,4.6,5.1,99.0,99.0,99.0,999,9999.0,19.6,999.0,999.0,99.0,99.0,2020/03/15 1600
999,3.6,4.1,99.0,99.0,99.0,999,9999.0,19.4,999.0,999.0,99.0,99.0,2020/03/15 1700
999,3.1,3.6,99.0,99.0,99.0,999,9999.0,19.6,999.0,999.0,99.0,99.0,2020/03/15 1800
999,3.1,3.6,99.0,99.0,99.0,999,9999.0,20.2,999.0,999.0,99.0,99.0,2020/03/15 1900
