WSPD,GST,ATMP,Date,Original_Data,UMAP-0,UMAP-1
-0.393323807,-0.643520973,-0.541675906,1546887600,1/7/2019 19:00,19.019182,-5.3643055
-1.076864791,-1.430175354,-0.520846778,1546891200,1/7/2019 20:00,19.145943,-5.554044
-0.55607166,-0.794800662,-0.406286574,1546894800,1/7/2019 21:00,19.151648,-5.59488
-0.230575953,-0.492241285,-0.375042882,1546898400,1/7/2019 22:00,19.32289,-5.780802
-0.230575953,-0.340961596,-0.364628318,1546902000,1/7/2019 23:00,19.436722,-5.9260135
-0.393323807,-0.643520973,-0.39587201,1546905600,1/8/2019 0:00,19.557955,-6.0757084
-0.0678281,-0.340961596,-0.364628318,1546909200,1/8/2019 1:00,19.680538,-6.2519975
-0.0678281,-0.15942597,-0.375042882,1546912800,1/8/2019 2:00,19.7169,-6.3492384
-0.0678281,-0.340961596,-0.364628318,1546916400,1/8/2019 3:00,19.776129,-6.5239773
-0.230575953,-0.15942597,-0.375042882,1546920000,1/8/2019 4:00,19.785534,-6.5956216
-1.076864791,-1.097360039,-0.354213754,1546923600,1/8/2019 5:00,19.924034,-6.7069836
-0.55607166,-0.643520973,-0.364628318,1546927200,1/8/2019 6:00,20.03969,-6.813765
-0.55607166,-0.492241285,-0.34379919,1546930800,1/8/2019 7:00,20.272196,-7.051714
-1.076864791,-0.946080351,-0.39587201,1546934400,1/8/2019 8:00,20.273598,-7.033928
-0.881567367,-1.097360039,-0.39587201,1546938000,1/8/2019 9:00,20.431105,-7.1037736
-1.076864791,-1.097360039,-0.385457446,1546941600,1/8/2019 10:00,20.569181,-7.193855
-0.718819514,-0.946080351,-0.437530266,1546945200,1/8/2019 11:00,20.648024,-7.235912
-0.718819514,-0.946080351,-0.437530266,1546948800,1/8/2019 12:00,20.824701,-7.066411
-0.55607166,-0.794800662,-0.562505034,1546952400,1/8/2019 13:00,20.96431,-6.917798
-0.718819514,-0.946080351,-0.635406982,1546956000,1/8/2019 14:00,21.104296,-6.7983346
-0.230575953,-0.643520973,-0.55209047,1546959600,1/8/2019 15:00,21.242878,-6.665979
-0.718819514,-0.794800662,-0.50001765,1546963200,1/8/2019 16:00,21.342297,-6.527204
-0.55607166,-0.946080351,-0.520846778,1546966800,1/8/2019 17:00,21.38016,-6.3911495
-0.881567367,-0.946080351,-0.322970062,1546970400,1/8/2019 18:00,21.416952,-6.2374787
-1.076864791,-1.248639728,-0.229238985,1546974000,1/8/2019 19:00,21.476393,-6.08524
