#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
2020 03 16 07 00 999  2.6  3.1 99.00 99.00 99.00 999 9999.0  19.2 999.0 999.0 99.0 99.00
2020 03 16 08 00 999  3.1  4.1 99.00 99.00 99.00 999 9999.0  19.2 999.0 999.0 99.0 99.00
2020 03 16 09 00 999  3.1  3.6 99.00 99.00 99.00 999 9999.0  19.5 999.0 999.0 99.0 99.00
2020 03 16 10 00 999  1.5  2.6 99.00 99.00 99.00 999 9999.0  19.5 999.0 999.0 99.0 99.00
2020 03 16 11 00 999  2.1  2.6 99.00 99.00 99.00 999 9999.0  19.6 999.0 999.0 99.0 99.00
2020 03 16 12 00 999  1.5  1.5 99.00 99.00 99.00 999 9999.0  19.4 999.0 999.0 99.0 99.00
2020 03 16 13 00 999  4.6  5.1 99.00 99.00 99.00 999 9999.0  18.4 999.0 999.0 99.0 99.00
2020 03 16 14 00 999  4.6  5.1 99.00 99.00 99.00 999 9999.0  17.8 999.0 999.0 99.0 99.00
2020 03 16 15 00 999  4.6  5.1 99.00 99.00 99.00 999 9999.0  18.4 999.0 999.0 99.0 99.00
2020 03 16 16 00 999  4.1  4.6 99.00 99.00 99.00 999 9999.0  19.0 999.0 999.0 99.0 99.00
2020 03 16 17 00 999  5.7  6.2 99.00 99.00 99.00 999 9999.0  18.9 999.0 999.0 99.0 99.00
2020 03 16 18 00 999  5.7  6.7 99.00 99.00 99.00 999 9999.0  18.4 999.0 999.0 99.0 99.00
2020 03 16 19 00 999  4.1  4.6 99.00 99.00 99.00 999 9999.0  19.1 999.0 999.0 99.0 99.00
2020 03 16 20 00 999  3.6  4.1 99.00 99.00 99.00 999 9999.0  19.7 999.0 999.0 99.0 99.00
2020 03 16 21 00 999  3.6  4.1 99.00 99.00 99.00 999 9999.0  20.9 999.0 999.0 99.0 99.00
2020 03 16 22 00 999  3.6  4.1 99.00 99.00 99.00 999 9999.0  20.8 999.0 999.0 99.0 99.00
2020 03 16 23 00 999  4.1  4.6 99.00 99.00 99.00 999 9999.0  20.6 999.0 999.0 99.0 99.00
2020 03 17 00 00 999  4.6  4.6 99.00 99.00 99.00 999 9999.0  20.3 999.0 999.0 99.0 99.00
2020 03 17 01 00 999  4.6  5.1 99.00 99.00 99.00 999 9999.0  20.2 999.0 999.0 99.0 99.00
2020 03 17 02 00 999  4.6  6.2 99.00 99.00 99.00 999 9999.0  19.9 999.0 999.0 99.0 99.00
2020 03 17 03 00 999  5.7  6.7 99.00 99.00 99.00 999 9999.0  19.9 999.0 999.0 99.0 99.00
2020 03 17 04 00 999  6.2  7.2 99.00 99.00 99.00 999 9999.0  19.6 999.0 999.0 99.0 99.00
2020 03 17 05 00 999  5.1  6.2 99.00 99.00 99.00 999 9999.0  23.7 999.0 999.0 99.0 99.00
2020 03 17 06 00 999  5.1  5.1 99.00 99.00 99.00 999 9999.0  21.5 999.0 999.0 99.0 99.00
2020 03 17 07 00 999  4.1  4.6 99.00 99.00 99.00 999 9999.0  20.8 999.0 999.0 99.0 99.00
2020 03 17 08 00 999  3.6  4.6 99.00 99.00 99.00 999 9999.0  20.4 999.0 999.0 99.0 99.00
2020 03 17 09 00 999  4.6  5.1 99.00 99.00 99.00 999 9999.0  20.9 999.0 999.0 99.0 99.00
2020 03 17 10 00 999  4.1  4.6 99.00 99.00 99.00 999 9999.0  20.5 999.0 999.0 99.0 99.00
2020 03 17 11 00 999  3.1  4.1 99.00 99.00 99.00 999 9999.0  20.1 999.0 999.0 99.0 99.00
2020 03 17 12 00 999  4.1  4.6 99.00 99.00 99.00 999 9999.0  20.4 999.0 999.0 99.0 99.00
2020 03 17 13 00 999  3.1  4.1 99.00 99.00 99.00 999 9999.0  19.6 999.0 999.0 99.0 99.00
2020 03 17 14 00 999  3.6  3.6 99.00 99.00 99.00 999 9999.0  19.6 999.0 999.0 99.0 99.00
2020 03 17 15 00 999  4.1  4.1 99.00 99.00 99.00 999 9999.0  19.5 999.0 999.0 99.0 99.00
2020 03 17 16 00 999  4.1  4.6 99.00 99.00 99.00 999 9999.0  19.5 999.0 999.0 99.0 99.00
2020 03 17 17 00 999  3.1  4.1 99.00 99.00 99.00 999 9999.0  19.5 999.0 999.0 99.0 99.00
2020 03 17 18 00 999  4.1  4.6 99.00 99.00 99.00 999 9999.0  19.4 999.0 999.0 99.0 99.00
2020 03 17 19 00 999  4.6  5.1 99.00 99.00 99.00 999 9999.0  19.9 999.0 999.0 99.0 99.00
2020 03 17 20 00 999  5.1  5.7 99.00 99.00 99.00 999 9999.0  20.4 999.0 999.0 99.0 99.00
2020 03 17 21 00 999  4.1  4.6 99.00 99.00 99.00 999 9999.0  20.5 999.0 999.0 99.0 99.00
2020 03 17 22 00 999  3.6  4.1 99.00 99.00 99.00 999 9999.0  20.6 999.0 999.0 99.0 99.00
2020 03 17 23 00 999  3.6  4.1 99.00 99.00 99.00 999 9999.0  20.6 999.0 999.0 99.0 99.00
2020 03 18 00 00 999  4.6  5.1 99.00 99.00 99.00 999 9999.0  20.5 999.0 999.0 99.0 99.00
2020 03 18 01 00 999  4.6  5.7 99.00 99.00 99.00 999 9999.0  20.4 999.0 999.0 99.0 99.00
2020 03 18 02 00 999  5.1  5.7 99.00 99.00 99.00 999 9999.0  20.5 999.0 999.0 99.0 99.00
2020 03 18 03 00 999  6.2  6.7 99.00 99.00 99.00 999 9999.0  20.5 999.0 999.0 99.0 99.00
2020 03 18 04 00 999  6.2  6.7 99.00 99.00 99.00 999 9999.0  20.4 999.0 999.0 99.0 99.00
2020 03 18 05 00 999  5.1  6.2 99.00 99.00 99.00 999 9999.0  20.4 999.0 999.0 99.0 99.00
2020 03 18 06 00 999  4.1  4.6 99.00 99.00 99.00 999 9999.0  20.3 999.0 999.0 99.0 99.00
2020 03 18 07 00 999  5.7  6.7 99.00 99.00 99.00 999 9999.0  20.1 999.0 999.0 99.0 99.00
2020 03 18 08 00 999  4.6  5.1 99.00 99.00 99.00 999 9999.0  19.9 999.0 999.0 99.0 99.00
2020 03 18 09 00 999  2.1  3.6 99.00 99.00 99.00 999 9999.0  20.3 999.0 999.0 99.0 99.00
2020 03 18 10 00 999  3.6  5.1 99.00 99.00 99.00 999 9999.0  20.8 999.0 999.0 99.0 99.00
2020 03 18 11 00 999  4.1  4.6 99.00 99.00 99.00 999 9999.0  20.3 999.0 999.0 99.0 99.00
2020 03 18 12 00 999  3.6  3.6 99.00 99.00 99.00 999 9999.0  20.3 999.0 999.0 99.0 99.00
2020 03 18 13 00 999  4.1  4.6 99.00 99.00 99.00 999 9999.0  20.0 999.0 999.0 99.0 99.00
2020 03 18 14 00 999  3.6  3.6 99.00 99.00 99.00 999 9999.0  20.2 999.0 999.0 99.0 99.00
2020 03 18 15 00 999  4.6  5.1 99.00 99.00 99.00 999 9999.0  20.7 999.0 999.0 99.0 99.00
2020 03 18 16 00 999  4.1  4.6 99.00 99.00 99.00 999 9999.0  20.9 999.0 999.0 99.0 99.00
2020 03 18 17 00 999  5.1  5.7 99.00 99.00 99.00 999 9999.0  20.9 999.0 999.0 99.0 99.00
2020 03 18 18 00 999  5.1  6.2 99.00 99.00 99.00 999 9999.0  21.0 999.0 999.0 99.0 99.00
2020 03 18 19 00 999  5.7  6.7 99.00 99.00 99.00 999 9999.0  21.2 999.0 999.0 99.0 99.00
2020 03 18 20 00 999  4.6  5.7 99.00 99.00 99.00 999 9999.0  21.4 999.0 999.0 99.0 99.00
2020 03 18 21 00 999  5.7  6.2 99.00 99.00 99.00 999 9999.0  21.4 999.0 999.0 99.0 99.00
2020 03 18 22 00 999  4.6  5.7 99.00 99.00 99.00 999 9999.0  21.4 999.0 999.0 99.0 99.00
2020 03 18 23 00 999  5.7  5.7 99.00 99.00 99.00 999 9999.0  21.2 999.0 999.0 99.0 99.00
2020 03 19 00 00 999  6.2  7.2 99.00 99.00 99.00 999 9999.0  21.1 999.0 999.0 99.0 99.00
2020 03 19 01 00 999  6.2  7.7 99.00 99.00 99.00 999 9999.0  21.0 999.0 999.0 99.0 99.00
2020 03 19 02 00 999  6.7  7.7 99.00 99.00 99.00 999 9999.0  20.8 999.0 999.0 99.0 99.00
2020 03 19 03 00 999  6.7  7.7 99.00 99.00 99.00 999 9999.0  20.6 999.0 999.0 99.0 99.00
2020 03 19 04 00 999  7.7  9.3 99.00 99.00 99.00 999 9999.0  20.8 999.0 999.0 99.0 99.00
2020 03 19 05 00 999  7.2  8.8 99.00 99.00 99.00 999 9999.0  20.6 999.0 999.0 99.0 99.00
2020 03 19 06 00 999  7.7  8.8 99.00 99.00 99.00 999 9999.0  20.5 999.0 999.0 99.0 99.00
2020 03 19 07 00 999  7.7  8.8 99.00 99.00 99.00 999 9999.0  20.5 999.0 999.0 99.0 99.00
2020 03 19 08 00 999  7.7  9.3 99.00 99.00 99.00 999 9999.0  20.6 999.0 999.0 99.0 99.00
2020 03 19 09 00 999  7.7  8.8 99.00 99.00 99.00 999 9999.0  20.6 999.0 999.0 99.0 99.00
2020 03 19 10 00 999  8.2  9.8 99.00 99.00 99.00 999 9999.0  20.7 999.0 999.0 99.0 99.00
2020 03 19 11 00 999  7.7  8.8 99.00 99.00 99.00 999 9999.0  20.5 999.0 999.0 99.0 99.00
2020 03 19 12 00 999  7.2  8.8 99.00 99.00 99.00 999 9999.0  20.2 999.0 999.0 99.0 99.00
2020 03 19 13 00 999  7.2  8.2 99.00 99.00 99.00 999 9999.0  19.5 999.0 999.0 99.0 99.00
2020 03 19 14 00 999  7.2  7.7 99.00 99.00 99.00 999 9999.0  15.8 999.0 999.0 99.0 99.00
2020 03 19 15 00 999  6.7  7.7 99.00 99.00 99.00 999 9999.0  14.6 999.0 999.0 99.0 99.00
2020 03 19 16 00 999  6.2  7.2 99.00 99.00 99.00 999 9999.0  15.2 999.0 999.0 99.0 99.00
2020 03 19 17 00 999  5.1  6.2 99.00 99.00 99.00 999 9999.0  19.8 999.0 999.0 99.0 99.00
2020 03 19 18 00 999  5.7  6.7 99.00 99.00 99.00 999 9999.0  22.0 999.0 999.0 99.0 99.00
2020 03 19 19 00 999  5.7  6.7 99.00 99.00 99.00 999 9999.0  22.3 999.0 999.0 99.0 99.00
2020 03 19 20 00 999  6.2  7.2 99.00 99.00 99.00 999 9999.0  22.4 999.0 999.0 99.0 99.00
2020 03 19 21 00 999  6.7  7.7 99.00 99.00 99.00 999 9999.0  22.6 999.0 999.0 99.0 99.00
2020 03 19 22 00 999  7.2  8.8 99.00 99.00 99.00 999 9999.0  22.7 999.0 999.0 99.0 99.00
2020 03 19 23 00 999  7.2  8.2 99.00 99.00 99.00 999 9999.0  22.7 999.0 999.0 99.0 99.00
2020 03 20 00 00 999  7.2  8.8 99.00 99.00 99.00 999 9999.0  22.5 999.0 999.0 99.0 99.00
2020 03 20 01 00 999  7.2  8.2 99.00 99.00 99.00 999 9999.0  22.4 999.0 999.0 99.0 99.00
2020 03 20 02 00 999  7.7  8.2 99.00 99.00 99.00 999 9999.0  22.3 999.0 999.0 99.0 99.00
2020 03 20 03 00 999  8.8  9.8 99.00 99.00 99.00 999 9999.0  22.3 999.0 999.0 99.0 99.00
2020 03 20 04 00 999  7.7  8.8 99.00 99.00 99.00 999 9999.0  22.1 999.0 999.0 99.0 99.00
2020 03 20 05 00 999  7.2  8.2 99.00 99.00 99.00 999 9999.0  22.1 999.0 999.0 99.0 99.00
