Row ID,Battery Life,Beach Name,Component_0,Component_1,Component_2,Measurement Timestamp,Turbidity,UMAP-0,UMAP-1,Water Temperature,Wave Height,Wave Period
98,1,0,-5.74083,-22.0982,-21.8427,1402923600,0,-3.70801,-8.16876,0,-1,0
99,1,0,-6.18704,-21.737,-21.8095,1402927200,0,9.0337,14.0525,0,-1,0
100,1,0,-6.69001,-21.4177,-21.6885,1402930800,0,-0.106747,-9.58182,0,-1,0
101,1,0,-7.17725,-21.1891,-21.5028,1402934400,0,-10.6752,13.7666,0,0,0
102,1,0,-7.67347,-21.0406,-21.2505,1402938000,0,9.47527,2.10098,0,0,-1
103,1,0,-8.17282,-20.9672,-20.9384,1402941600,0,-7.77493,-8.7037,0,0,-1
104,1,0,-8.6626,-20.9654,-20.5749,1402945200,0,1.70447,-10.5925,0,0,2
105,1,0,-9.12698,-21.0267,-20.1756,1402948800,0,6.78745,11.5746,0,0,1
106,1,0,-9.54241,-21.1361,-19.7662,1402952400,0,13.5154,9.04088,0,0,-1
107,1,0,-9.91433,-21.2884,-19.3396,1402956000,0,1.65452,3.12823,0,0,-1
108,1,0,-10.262,-21.4891,-18.8746,1402959600,0,12.0867,13.4395,0,0,-1
109,1,0,-10.5761,-21.719,-18.3992,1402963200,0,6.27156,9.77276,-1,-1,1
110,1,0,-10.8408,-21.9599,-17.9394,1402966800,0,-7.15698,-5.48814,-1,-1,-1
111,1,0,-11.0784,-22.2276,-17.4639,1402970400,0,-5.66757,9.51535,-1,-1,-1
112,1,0,-11.2938,-22.5081,-16.9666,1402974000,0,0.41955,15.253,-1,-1,1
113,1,0,-11.4845,-22.798,-16.465,1402977600,0,7.95947,-3.25215,-1,-1,1
114,1,0,-11.6578,-23.0901,-15.9782,1402981200,0,-9.07765,15.0143,-1,-1,1
115,1,0,-11.8153,-23.3803,-15.4968,1402984800,0,18.0419,7.79293,-1,-1,-1
116,1,0,-11.9644,-23.6668,-14.9914,1402988400,0,-7.20375,6.85236,-1,-1,-1
117,1,0,-12.1056,-23.9388,-14.4849,1402992000,0,17.6388,7.82413,-1,-1,-1
118,1,0,-12.2468,-24.2143,-14.0138,1402995600,0,15.546,-9.17065,-1,-1,0
119,1,0,-12.3901,-24.4774,-13.5329,1402999200,0,0.884078,-12.3047,-1,-1,3
120,1,0,-12.538,-24.7276,-13.0478,1403002800,0,13.6214,-7.44216,-1,-1,4
121,1,0,-12.6988,-24.9715,-12.5398,1403006400,0,-1.65093,18.0845,0,-1,-1
122,1,0,-12.8744,-25.2022,-12.0059,1403010000,0,-7.34261,-1.74464,0,-1,0
123,1,0,-13.0501,-25.3998,-11.5155,1403013600,0,11.0315,-5.43578,0,0,0
124,1,0,-13.2492,-25.5926,-10.9864,1403017200,0,-7.6499,12.3378,0,-1,-1
