,Unnamed: 0,Beach Name,Measurement Timestamp,Water Temperature,Turbidity,Wave Height,Wave Period,Battery Life,UMAP-0,UMAP-1,UMAP-2
21202,21202,3.0,1437768000.0,1.0,-0.0,-0.0,-1.0,2.0,3.8857763,4.766865,10.240034
35081,35081,4.0,1432404000.0,-2.0,-0.0,0.0,-1.0,0.0,5.4946766,10.321014,10.642218
14314,14314,2.0,1436540400.0,0.0,-0.0,-1.0,-1.0,0.0,-4.0949974,4.408043,12.884882
27632,27632,3.0,1528524000.0,-1.0,-0.0,-0.0,0.0,1.0,10.032322,8.693926,12.658948
38774,38774,5.0,1436497200.0,-0.0,-0.0,-0.0,-1.0,-0.0,14.649093,0.061361633,6.368408
10806,10806,1.0,1473872400.0,1.0,-0.0,3.0,-1.0,-1.0,3.4417524,1.4072825,1.9880911
19594,19594,3.0,1407189600.0,1.0,-0.0,-0.0,-1.0,-0.0,8.617318,14.360665,4.730495
7382,7382,1.0,1439413200.0,2.0,-0.0,-0.0,0.0,-1.0,11.7517605,-4.5969763,0.85956997
12297,12297,2.0,1406300400.0,-1.0,0.0,-0.0,-1.0,1.0,12.654286,10.762049,1.5546292
23220,23220,3.0,1468472400.0,1.0,-0.0,-1.0,3.0,1.0,6.5836325,1.3770461,12.641862
35660,35660,4.0,1434650400.0,-1.0,-0.0,-1.0,2.0,-1.0,7.1654363,11.55962,8.500592
23774,23774,3.0,1470639600.0,1.0,-0.0,0.0,0.0,0.0,5.2722087,3.1349232,1.7640314
11979,11979,2.0,1405105200.0,-1.0,-0.0,0.0,-1.0,2.0,12.792263,3.1056588,8.858567
703,703,0.0,1405220400.0,-2.0,-0.0,-1.0,1.0,1.0,1.5791302,13.041211,1.2623539
8786,8786,1.0,1465988400.0,0.0,-0.0,-1.0,-1.0,-0.0,0.24839334,3.1676383,6.5065737
11741,11741,2.0,1404169200.0,-1.0,-0.0,1.0,-1.0,-1.0,-0.54766226,0.6234281,-0.32397038
28345,28345,3.0,1531184400.0,1.0,-0.0,-1.0,0.0,0.0,8.41453,6.294079,12.186654
14976,14976,2.0,1439136000.0,0.0,-0.0,-0.0,-1.0,-1.0,10.56767,8.601119,-4.286716
11238,11238,2.0,1402340400.0,-1.0,1.0,1.0,-1.0,0.0,1.7919964,0.80327326,-4.968126
27582,27582,3.0,1528344000.0,-1.0,-0.0,-1.0,0.0,1.0,7.1274147,8.6860285,8.569694
34456,34456,4.0,1407340800.0,1.0,0.0,1.0,0.0,-0.0,9.636292,-6.230106,0.60751456
21236,21236,3.0,1437908400.0,1.0,-0.0,-0.0,-1.0,1.0,8.607442,-3.8283305,-1.6202532
16627,16627,2.0,1468011600.0,1.0,-0.0,1.0,-1.0,1.0,4.292457,8.507542,12.758066
32074,32074,3.0,1593727200.0,1.0,-0.0,-0.0,1.0,2.0,1.2596511,0.55343276,4.3382635
34994,34994,4.0,1432058400.0,-2.0,-0.0,1.0,-1.0,1.0,-0.3897131,6.3058343,14.28673
6196,6196,1.0,1434722400.0,-1.0,-0.0,0.0,0.0,-1.0,8.160692,12.505656,7.64654
12887,12887,2.0,1408453200.0,1.0,-0.0,-1.0,0.0,-1.0,-2.4800167,-0.4041435,6.6037936
6049,6049,1.0,1434189600.0,-1.0,-0.0,-1.0,0.0,-0.0,3.1805584,2.062407,10.233858
924,924,0.0,1406080800.0,-2.0,-0.0,3.0,0.0,0.0,-5.0417724,10.00165,4.1504216
11881,11881,2.0,1404684000.0,-1.0,-0.0,-1.0,-2.0,-1.0,3.1290426,4.10557,12.057944
20846,20846,3.0,1436436000.0,-1.0,0.0,0.0,0.0,-0.0,-0.1496347,1.853656,13.341711
13064,13064,2.0,1409137200.0,1.0,-0.0,0.0,-1.0,-1.0,-3.203248,8.35686,11.4967375
12632,12632,2.0,1407513600.0,1.0,-0.0,2.0,-1.0,-0.0,-5.069233,4.4654956,3.42172
37796,37796,5.0,1404961200.0,0.0,-0.0,-0.0,0.0,1.0,5.6790605,0.5669651,11.269002
4687,4687,1.0,1406170800.0,-1.0,0.0,1.0,1.0,0.0,2.6281953,2.8718288,-7.075915
8352,8352,1.0,1443121200.0,1.0,-0.0,0.0,-1.0,-1.0,13.283274,6.399843,1.8740454
27020,27020,3.0,1503388800.0,1.0,-0.0,0.0,-1.0,1.0,1.6006818,11.947746,8.184813
12489,12489,2.0,1406995200.0,1.0,-0.0,0.0,-1.0,0.0,11.485649,0.88705134,2.5555332
27788,27788,3.0,1529107200.0,-1.0,-0.0,-1.0,-1.0,0.0,9.38562,10.928215,11.0689
29786,29786,3.0,1559883600.0,-1.0,-0.0,0.0,0.0,-1.0,10.946426,1.967512,4.206622
32715,32715,3.0,1626206400.0,1.0,-0.0,-0.0,-1.0,0.0,7.4505997,8.077919,2.3795083
23179,23179,3.0,1468245600.0,1.0,-0.0,-0.0,-1.0,1.0,9.881171,0.73677695,10.339834
35995,35995,4.0,1435975200.0,-0.0,-0.0,-1.0,-1.0,-0.0,8.049098,8.342488,-4.598264
4776,4776,1.0,1406491200.0,-0.0,-0.0,-0.0,0.0,0.0,14.054253,11.013724,5.5603824
8864,8864,1.0,1466269200.0,1.0,-0.0,-0.0,-1.0,-0.0,-0.13536368,-0.84554785,3.566506
31837,31837,3.0,1567371600.0,-0.0,-0.0,-0.0,-1.0,-0.0,3.9409716,6.0482993,0.4512884
7559,7559,1.0,1440061200.0,-1.0,-0.0,-1.0,-1.0,1.0,4.3093553,13.228884,10.760012
3211,3211,0.0,1441339200.0,0.0,-0.0,-0.0,0.0,-0.0,4.7740455,-2.0715032,5.8616185
36984,36984,4.0,1440878400.0,-2.0,-0.0,0.0,-1.0,-1.0,-2.6599097,3.6433408,10.981418
37426,37426,5.0,1403456400.0,0.0,-0.0,0.0,-1.0,0.0,0.69875324,8.464659,3.8154547
13314,13314,2.0,1432587600.0,-1.0,-0.0,-1.0,3.0,0.0,-6.4298515,5.3652897,4.069088
21564,21564,3.0,1439301600.0,1.0,-0.0,0.0,0.0,0.0,-0.42284554,11.901165,5.156106
21531,21531,3.0,1439172000.0,1.0,-0.0,-1.0,1.0,0.0,-2.714125,5.64023,4.8457975
36299,36299,4.0,1437760800.0,0.0,-0.0,-0.0,2.0,-0.0,5.629543,-2.9183009,0.69477916
19857,19857,3.0,1408161600.0,1.0,0.0,-1.0,0.0,-1.0,14.009513,4.2269344,8.61211
18430,18430,3.0,1402844400.0,-1.0,-0.0,-0.0,0.0,0.0,0.04172136,-3.2786574,-2.771014
1636,1636,0.0,1434268800.0,-1.0,-0.0,-1.0,0.0,-1.0,-2.5076683,7.018013,-1.822305
20101,20101,3.0,1409090400.0,1.0,0.0,-0.0,-1.0,-2.0,-1.3839216,6.0190487,-5.9814534
28855,28855,3.0,1533088800.0,1.0,-0.0,-0.0,-1.0,1.0,7.0583353,11.165506,3.433541
4749,4749,1.0,1406394000.0,0.0,-0.0,-1.0,-1.0,0.0,8.260815,-3.9759116,1.5293818
20508,20508,3.0,1435136400.0,-1.0,-0.0,-1.0,0.0,0.0,10.356889,2.749984,9.486013
15785,15785,2.0,1464624000.0,-1.0,-0.0,-0.0,1.0,1.0,4.667582,2.9023066,11.672586
34984,34984,4.0,1409425200.0,1.0,-0.0,-1.0,1.0,-2.0,12.424503,6.7969284,7.520862
15275,15275,2.0,1440309600.0,-2.0,-0.0,-0.0,-1.0,1.0,-4.619264,1.2463725,4.7956123
37016,37016,4.0,1440997200.0,-1.0,-0.0,-1.0,-1.0,-1.0,2.9545653,7.5139284,13.354839
22891,22891,3.0,1466830800.0,0.0,-0.0,-1.0,-1.0,-1.0,7.5697775,4.676047,-0.5107693
20437,20437,3.0,1434844800.0,-1.0,-0.0,-1.0,0.0,1.0,11.613732,-0.76391846,3.3118935
27891,27891,3.0,1529496000.0,-0.0,-0.0,1.0,-1.0,-0.0,9.4994135,8.512392,12.072023
34104,34104,4.0,1406055600.0,-1.0,-0.0,-1.0,2.0,1.0,10.851097,15.529132,7.7098746
34146,34146,4.0,1406214000.0,-0.0,0.0,1.0,-1.0,0.0,10.205875,0.12034862,6.8845725
27830,27830,3.0,1529269200.0,-0.0,-0.0,-1.0,-1.0,-0.0,7.897396,9.555914,12.066383
24765,24765,3.0,1474390800.0,0.0,-0.0,-0.0,0.0,-1.0,4.948676,-2.7820418,9.909586
413,413,0.0,1404075600.0,-1.0,-0.0,-1.0,-1.0,-0.0,11.62701,11.3737335,0.3432789
29123,29123,3.0,1534100400.0,2.0,-0.0,0.0,0.0,-0.0,5.2103953,5.371578,3.2599876
28628,28628,3.0,1532239200.0,-0.0,0.0,1.0,1.0,-1.0,7.6549807,8.216563,9.868563
36939,36939,4.0,1440716400.0,-1.0,-0.0,-0.0,3.0,-0.0,7.481117,4.068741,13.75946
28483,28483,3.0,1531688400.0,1.0,-0.0,0.0,-1.0,-1.0,5.1188273,7.619975,8.733529
2426,2426,0.0,1437714000.0,1.0,-0.0,-1.0,1.0,-0.0,12.829849,-4.0640125,2.7513173
1923,1923,0.0,1435572000.0,-0.0,-0.0,-1.0,-1.0,1.0,12.327564,1.2300477,-4.293535
21624,21624,3.0,1439521200.0,1.0,-0.0,-1.0,1.0,-0.0,4.73907,2.2568252,6.2447886
20799,20799,3.0,1436266800.0,-1.0,0.0,2.0,1.0,-0.0,1.3693138,0.106393866,14.709521
25814,25814,3.0,1498888800.0,-0.0,-0.0,0.0,-1.0,0.0,8.295909,3.0989776,2.3895311
5487,5487,1.0,1409137200.0,1.0,-0.0,-1.0,-1.0,-2.0,-3.140867,8.334378,11.438802
38494,38494,5.0,1435388400.0,-1.0,-0.0,2.0,0.0,0.0,13.194824,7.524232,11.374939
